PID
Episode,1
fuel,2.4732799530029297
x_final,0.002495736786813447
time,6.014627933502197
Episode,2
fuel,2.785890579223633
x_final,0.08993784586588542
time,5.8111252784729
Episode,3
fuel,2.665355682373047
x_final,0.1380864345666134
time,5.408626079559326
Episode,4
fuel,2.669292449951172
x_final,0.09321582678592566
time,5.461286306381226
Episode,5
fuel,2.767486572265625
x_final,0.022312279903527462
time,6.005389213562012
Episode,6
fuel,2.5189895629882812
x_final,0.06470836292613637
time,5.165304183959961
Episode,7
fuel,2.7542476654052734
x_final,0.09451686974727747
time,5.851434707641602
Episode,8
fuel,2.6052799224853516
x_final,0.004312573057232481
time,5.374544143676758
Episode,9
fuel,2.318828582763672
x_final,0.16326447689171994
time,4.781957626342773
Episode,10
fuel,2.7581844329833984
x_final,0.09599188602331912
time,5.456291913986206
Fuzzy PID
Episode,1
fuel,2.6409568786621094
x_final,0.031499689275568184
time,5.9376304149627686
Episode,2
fuel,2.6229324340820312
x_final,0.06477864583333333
time,5.674130439758301
Episode,3
fuel,2.3316097259521484
x_final,0.0005668871330492424
time,4.5317370891571045
Episode,4
fuel,2.6608123779296875
x_final,0.047190463904178505
time,5.580892086029053
Episode,5
fuel,2.7040576934814453
x_final,0.06501885616418088
time,6.90071439743042
Episode,6
fuel,2.727947235107422
x_final,0.0755422187573982
time,7.743333101272583
Episode,7
fuel,2.6631851196289062
x_final,0.10406517260002368
time,6.108562707901001
Episode,8
fuel,2.5654964447021484
x_final,0.02786462957208807
time,5.227925777435303
Episode,9
fuel,2.5429344177246094
x_final,0.0001275033661813447
time,4.875967025756836
Episode,10
fuel,2.5526065826416016
x_final,0.03869744503136837
time,5.2785327434539795
